Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
19.26450814,3202.814506,5129010.38,306.5492111,485.7415474,54.32530811,0
21.0851465,3462.949182,5996008.52,288.1758416,471.0567553,54.90413148,0
22.15215674,3641.044649,6628603.068,285.2143456,469.1254995,54.1407378,0
22.99953231,3773.353299,7119097.559,284.8799849,468.4817362,54.59620875,0
22.84117058,3811.218067,7262691.577,307.1836956,485.2812389,53.72858067,0
25.03157983,4164.983511,8673543.823,308.3596001,485.7077455,53.90081613,0
24.56950193,4040.975501,8164741.501,289.1210337,470.2582921,54.93857822,0
27.3254721,4490.402675,10081858.09,288.2486293,469.6325244,54.76597658,0
26.63908162,4143.954096,8586177.777,259.8149801,446.9107056,51.81378768,0
30.17941788,4647.526044,10799749.17,254.5344537,442.107789,51.19018481,0
27.02690192,4392.006543,9644860.736,279.9932318,465.5349938,51.37905569,0
23.96918874,4058.138338,8234243.385,326.8449214,499.5506235,53.91648409,0
66.81859861,9646.087352,46523500.6,227.9548943,415.5761108,49.22579866,0
31.47195551,4723.878256,11157512.89,245.1373797,432.8291811,50.5307764,0
28.98596995,4649.33022,10808135.75,284.5194754,466.7882946,51.65266028,0
28.46180843,4561.632364,10404244.91,273.6048243,458.2181433,52.77534578,0
28.38053194,4661.617871,10865340.59,296.7077646,478.4246313,51.68770802,0
27.91160934,4569.578461,10440523.66,294.1858486,475.3176727,53.12828532,0
26.92997889,4429.524211,9810342.366,297.9290232,478.2646443,53.58968726,0
23.06957302,3755.134194,7050516.409,291.2276228,472.7329403,53.59016452,0
25.10112112,3986.305053,7945313.987,313.6982804,492.3423556,50.92430463,0
5.593225497,887.4299947,393765.9977,280.7228351,460.0732251,53.68194505,0
4.594459162,704.7577455,248341.7399,292.449887,470.7220078,55.59721647,0
17.27289105,2859.920733,4089573.301,317.6471968,489.2077214,53.41849427,0
14.33389167,2362.26846,2790156.138,305.2500106,483.5415651,53.73563498,0
1.041339354,130.8078704,8555.349474,146.3493726,338.2213839,64.48678468,0
0.888805888,111.6243377,6229.996384,146.3567106,338.0627598,66.45907084,0
25.77297764,4031.48121,8126420.372,260.8665894,444.2535448,53.65582308,0
31.9685807,4941.524838,12209333.86,251.0903593,438.3608494,53.49293923,0
2.691006849,476.1808158,113374.0847,347.0049037,514.9777961,52.22193542,0
2.726127673,468.7126073,109845.7541,364.1468053,521.1228102,53.06116571,0
12.69727944,2212.777747,2448192.678,342.4414657,510.6686815,54.51749813,0
12.48142785,2186.811776,2391072.871,355.9368935,521.3572252,54.16123092,0
14.76017902,2468.524488,3046806.573,312.2964568,488.8790518,55.0108922,0
15.7474846,2656.217809,3527746.524,322.9161626,497.4153385,54.18642147,0
10.97874393,1693.014317,1433148.739,279.9789711,456.3732509,54.74801628,0
4.677305259,687.3615891,236232.9771,280.8161893,452.8634854,55.87292934,0
