Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
35.62552734,4123.554383,17003700.75,97.01596234,188.1256504,14.12216463,6
46.13410371,5650.019685,31922722.44,131.5378684,214.5110887,15.40156919,6
101.9649092,11651.94529,135767829.1,141.9069141,216.2972905,13.31167294,6
175.4424627,20976.94305,440032139.7,123.8429824,208.573782,12.84581887,6
32.23435165,3848.723642,14812673.67,99.56423711,189.8337552,14.68648724,6
35.10020166,3804.172784,14471730.57,74.80491702,167.2526624,13.01478286,6
48.55148186,5892.754169,34724551.7,136.1618047,216.8400181,14.96659889,6
107.1356977,12445.59961,154892949.7,130.8157554,214.6583525,12.47261059,6
196.995862,22705.55429,515542195.4,125.2456526,207.2254532,12.04086656,6
31.2939749,3845.366276,14786841.79,107.4979483,195.4167853,15.55926683,6
34.11630308,4107.665725,16872917.7,97.16424102,189.9534574,14.61200377,6
49.53988349,5558.147614,30893004.9,116.4671329,201.599454,13.71143575,6
109.271417,12710.1194,161547135.2,126.0639645,210.3593392,12.32825305,6
222.1019555,24873.7922,618705538.5,137.9078258,213.1343932,10.80276845,6
28.17037138,3137.684317,9845062.872,65.65595068,158.80172,16.15899062,6
32.25113965,3539.843582,12530492.58,77.27490432,170.5159688,12.65512813,6
45.1193294,5086.072392,25868132.37,114.4693001,200.2259747,13.727383,6
99.05593189,10975.52941,120462245.9,120.0381992,200.4319349,12.13506831,6
211.6198189,24165.46656,583969774.3,110.7187862,197.4431252,10.5097093,6
33.48310729,3957.369559,15660773.83,96.10470348,186.4282099,14.98603559,6
30.69075089,3519.978055,12390245.51,83.78387589,177.6467901,14.68925433,6
43.09834182,4824.482657,23275632.91,108.7249224,196.0242741,12.73286546,6
116.6759436,13457.68886,181109389.6,107.8568308,195.6960918,11.82866935,6
206.9219581,24058.7007,578821079.3,111.4682821,198.8352277,10.78604265,6
41.05510577,4650.505707,21627203.33,87.68733987,176.5638008,15.10807995,6
35.11388685,4107.757162,16873668.9,85.17853551,178.4737648,14.15693175,6
41.86573556,4732.807158,22399463.59,104.032307,193.2066976,13.01844056,6
107.2595183,12566.80048,157924474.3,107.342946,196.1645254,11.93205783,6
198.0146719,22980.76951,528115767.5,100.9745579,190.7843926,10.43155483,6
14.50031546,1653.793355,2735032.462,87.9686219,180.2352037,19.10345744,6
37.0703111,4278.961207,18309509.01,94.85313996,184.6588841,15.7685567,6
41.81781461,4833.936006,23366937.31,105.4366651,194.9709382,14.09781809,6
102.5540594,12293.87049,151139251.6,106.0566531,196.174839,12.36649777,6
190.0043625,22236.88617,494479106.5,102.8541379,192.4404366,10.84591985,6
5.637865357,655.5985854,429809.5052,88.21115734,180.9007049,24.13338437,6
16.75283217,2116.785418,4480780.507,98.74134862,191.2822875,21.82085294,6
38.32892503,4630.866924,21444928.47,116.9587918,205.9146076,16.03262485,6
90.05446365,10898.48185,118776906.7,116.6697518,204.3576635,13.98336667,6
163.757824,19202.11558,368721242.8,118.2187186,202.6699342,12.57140654,6
18.02056248,2315.20206,5360160.58,85.87022103,181.0530837,19.8905372,6
29.5040355,3777.194574,14267198.85,100.8437659,193.8417999,20.9803737,6
76.96497297,9261.570172,85776682.05,114.8203506,202.0975849,14.44964249,6
147.2931281,18144.18232,329211351.9,97.53379467,190.2235797,14.02910276,6
76.403629,8938.561708,79897885.42,95.74060397,185.3575196,15.6696859,6
30.21608414,3272.827271,10711398.35,69.5746163,160.7302598,15.68294445,6
29.87427531,3938.103264,15508657.32,105.7685983,198.8282072,20.61404443,6
75.89953051,9994.365235,99887336.46,114.7516778,205.6209127,17.5942517,6
148.651438,18026.62675,324959271.9,101.5719264,192.2533045,14.83542211,6
11.93234185,1736.733082,3016241.796,168.0544932,242.5769971,23.45804766,7
24.06102344,4271.374835,18244642.98,224.2626904,287.4450889,29.14495407,7
22.38778265,3912.719159,15309371.22,258.306724,303.3005517,29.04935765,7
741.4746722,122819.962,15084743069,187.7550983,264.1672613,20.3105623,7
4539.052043,508699.0911,2.59E+11,75.24750837,168.3205865,6.835953016,7
12045.94175,1309787.012,1.72E+12,67.67376282,160.9097161,4.746837075,7
12121.9144,1297612.847,1.68E+12,64.67009692,156.9524358,4.553326009,7
16.31204508,2914.424307,8493869.038,237.3674048,293.9791462,30.38144097,7
16.31488049,2936.296787,8621838.823,241.3821105,296.4941548,30.06399779,7
23.98427097,4294.572432,18443352.38,228.9611681,290.3205651,29.65409708,7
21.62688459,4015.724462,16126042.96,213.597976,284.3126386,30.30576588,7
670.757098,110543.8673,12219946607,208.3703187,273.9267549,19.69386837,7
16.70733783,2972.007304,8832827.417,272.2451989,309.5197778,30.22205358,7
24.84998656,5141.508961,26435114.39,313.3491116,342.8520486,27.61073863,7
21.16229984,3743.60772,14014598.76,223.0682069,286.8044997,29.9938612,7
659.3065349,107370.4803,11528420037,181.2137052,258.5844234,19.83259346,7
1452.430889,232601.7977,54103596304,195.3194518,265.2528995,17.61120072,7
12388.67721,1370694.562,1.88E+12,68.82649186,161.6103176,4.561589662,7
16.23010373,2916.442183,8505635.008,242.7608351,296.2212003,30.83722683,7
23.87286662,4168.098086,17373041.66,260.6255893,304.135175,28.91581215,7
20.90719433,3720.080072,13838995.75,239.1828485,297.9502031,26.88233418,7
671.2429863,103950.4462,10805695266,192.0005542,261.7458854,17.74277619,7
4604.986018,533663.8298,2.85E+11,86.27845563,177.5814513,7.928165303,7
10866.29647,1178259.052,1.39E+12,65.82248279,159.1169339,5.76404409,7
3221.150364,388416.0142,1.51E+11,92.68539099,186.1253701,9.938867396,7
25.83774399,4514.781036,20383247.8,253.1391152,300.9484184,28.40417108,7
24.26862568,4323.333028,18691208.47,223.0747751,287.2480806,28.57425826,7
1112.119646,170790.8752,29169523057,184.2435781,257.9879754,16.22292849,7
5198.93288,670000.3465,4.49E+11,94.39745205,189.6347799,8.425472166,7
14731.40642,1601912.74,2.57E+12,70.17085036,160.6909449,5.824151746,7
13.99423482,2544.842943,6476225.606,274.899078,311.0094742,31.25152053,7
25.52632093,4331.806122,18764544.28,295.4837255,324.8519179,24.780786,7
23.46909344,4267.945681,18215360.34,237.4232506,296.815974,29.06033895,7
23.64814308,4137.953326,17122657.73,258.1689544,303.2714115,28.35468669,7
1056.770671,166052.8683,27573555087,196.1002279,267.2894535,16.96328753,7
5979.966013,707859.6767,5.01E+11,82.91163806,175.7547738,8.752250704,7
11841.26165,1406948.444,1.98E+12,81.07173674,174.296549,8.113795803,7
14.17883144,2559.216197,6549587.544,275.1099137,310.7346668,31.23158264,7
26.85100621,4923.67905,24242615.39,251.7939302,305.7547398,28.6336007,7
23.43085767,4168.829017,17379135.37,219.1209202,285.3583148,28.98017363,7
946.2423131,148446.1302,22036253570,187.5577529,261.2868212,18.49065551,7
5370.593295,678837.877,4.61E+11,102.0848607,193.4710087,9.165512224,7
16194.50784,1731964.412,3.00E+12,58.1134687,149.9651521,5.781748049,7
